阅览室名称,校区,楼层,座位号,room_id,seat_id
第五阅览室北区,西校区,6,1,8,1587
第五阅览室北区,西校区,6,2,8,1589
第五阅览室北区,西校区,6,3,8,1588
第五阅览室北区,西校区,6,4,8,1590
第五阅览室北区,西校区,6,5,8,1483
第五阅览室北区,西校区,6,6,8,1595
第五阅览室北区,西校区,6,7,8,1484
第五阅览室北区,西校区,6,8,8,1594
第五阅览室北区,西校区,6,9,8,1528
第五阅览室北区,西校区,6,10,8,1543
第五阅览室北区,西校区,6,11,8,1529
第五阅览室北区,西校区,6,12,8,1544
第五阅览室北区,西校区,6,13,8,1561
第五阅览室北区,西校区,6,14,8,1562
第五阅览室北区,西校区,6,15,8,1546
第五阅览室北区,西校区,6,16,8,1547
第五阅览室北区,西校区,6,17,8,1531
第五阅览室北区,西校区,6,18,8,1532
第五阅览室北区,西校区,6,19,8,1516
第五阅览室北区,西校区,6,20,8,1517
第五阅览室北区,西校区,6,21,8,1486
第五阅览室北区,西校区,6,22,8,1487
第五阅览室北区,西校区,6,23,8,1471
第五阅览室北区,西校区,6,24,8,1472
第五阅览室北区,西校区,6,25,8,1456
第五阅览室北区,西校区,6,26,8,1457
第五阅览室北区,西校区,6,27,8,1441
第五阅览室北区,西校区,6,28,8,1442
第五阅览室北区,西校区,6,29,8,1566
第五阅览室北区,西校区,6,30,8,1567
第五阅览室北区,西校区,6,31,8,1551
第五阅览室北区,西校区,6,32,8,1552
第五阅览室北区,西校区,6,33,8,1536
第五阅览室北区,西校区,6,34,8,19609
第五阅览室北区,西校区,6,35,8,1521
第五阅览室北区,西校区,6,36,8,1522
第五阅览室北区,西校区,6,37,8,1491
第五阅览室北区,西校区,6,38,8,1492
第五阅览室北区,西校区,6,39,8,1476
第五阅览室北区,西校区,6,40,8,1461
第五阅览室北区,西校区,6,41,8,1462
第五阅览室北区,西校区,6,42,8,1446
第五阅览室北区,西校区,6,43,8,1447
第五阅览室北区,西校区,6,44,8,1450
第五阅览室北区,西校区,6,45,8,1449
第五阅览室北区,西校区,6,46,8,1465
第五阅览室北区,西校区,6,47,8,1464
第五阅览室北区,西校区,6,48,8,1480
第五阅览室北区,西校区,6,49,8,1479
第五阅览室北区,西校区,6,50,8,1495
第五阅览室北区,西校区,6,51,8,1494
第五阅览室北区,西校区,6,52,8,1525
第五阅览室北区,西校区,6,53,8,1524
第五阅览室北区,西校区,6,54,8,1540
第五阅览室北区,西校区,6,55,8,1539
第五阅览室北区,西校区,6,56,8,1555
第五阅览室北区,西校区,6,57,8,1554
第五阅览室北区,西校区,6,58,8,1570
第五阅览室北区,西校区,6,59,8,1569
第八阅览室北区,西校区,6,1,9,7864
第八阅览室北区,西校区,6,2,9,7865
第八阅览室北区,西校区,6,3,9,7821
第八阅览室北区,西校区,6,4,9,7822
第八阅览室北区,西校区,6,5,9,7735
第八阅览室北区,西校区,6,6,9,7736
第八阅览室北区,西校区,6,7,9,7692
第八阅览室北区,西校区,6,8,9,7693
第八阅览室北区,西校区,6,9,9,7606
第八阅览室北区,西校区,6,10,9,7607
第八阅览室北区,西校区,6,11,9,7563
第八阅览室北区,西校区,6,12,9,7564
第八阅览室北区,西校区,6,13,9,7566
第八阅览室北区,西校区,6,14,9,7567
第八阅览室北区,西校区,6,15,9,7609
第八阅览室北区,西校区,6,16,9,7610
第八阅览室北区,西校区,6,17,9,7652
第八阅览室北区,西校区,6,18,9,7653
第八阅览室北区,西校区,6,19,9,7695
第八阅览室北区,西校区,6,20,9,7696
第八阅览室北区,西校区,6,21,9,7781
第八阅览室北区,西校区,6,22,9,7782
第八阅览室北区,西校区,6,23,9,7824
第八阅览室北区,西校区,6,24,9,7825
第八阅览室北区,西校区,6,25,9,7867
第八阅览室北区,西校区,6,26,9,7868
第八阅览室北区,西校区,6,27,9,7910
第八阅览室北区,西校区,6,28,9,7911
第八阅览室北区,西校区,6,29,9,7913
第八阅览室北区,西校区,6,30,9,7914
第八阅览室北区,西校区,6,31,9,7870
第八阅览室北区,西校区,6,32,9,7871
第八阅览室北区,西校区,6,33,9,7827
第八阅览室北区,西校区,6,34,9,7828
第八阅览室北区,西校区,6,35,9,7784
第八阅览室北区,西校区,6,36,9,7785
第八阅览室北区,西校区,6,37,9,7698
第八阅览室北区,西校区,6,38,9,7699
第八阅览室北区,西校区,6,39,9,7655
第八阅览室北区,西校区,6,40,9,7656
第八阅览室北区,西校区,6,41,9,7612
第八阅览室北区,西校区,6,42,9,7613
第八阅览室北区,西校区,6,43,9,7569
第八阅览室北区,西校区,6,44,9,7570
第八阅览室北区,西校区,6,45,9,7572
第八阅览室北区,西校区,6,46,9,7573
第八阅览室北区,西校区,6,47,9,7615
第八阅览室北区,西校区,6,48,9,7616
第八阅览室北区,西校区,6,49,9,7658
第八阅览室北区,西校区,6,50,9,7659
第八阅览室北区,西校区,6,51,9,7701
第八阅览室北区,西校区,6,52,9,7702
第八阅览室北区,西校区,6,53,9,7787
第八阅览室北区,西校区,6,54,9,7788
第八阅览室北区,西校区,6,55,9,7830
第八阅览室北区,西校区,6,56,9,7831
第八阅览室北区,西校区,6,57,9,7873
第八阅览室北区,西校区,6,58,9,7874
第八阅览室北区,西校区,6,59,9,7916
